"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","CH06","Central Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,49.4,,
"2","Large regions (TL2)","CH06","Central Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,51.7,,
"2","Large regions (TL2)","CH06","Central Switzerland","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,52.6,,
"2","Large regions (TL2)","CH07","Ticino","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2003","2003",,,"0","Units",,,48.6,,
"2","Large regions (TL2)","CH07","Ticino","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,47.4,,
"2","Large regions (TL2)","CH07","Ticino","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,54.3,,
"1","Country","TUR","Türkiye","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,79.3,,
"1","Country","TUR","Türkiye","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,84.3,,
"1","Country","TUR","Türkiye","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,87.6,,
"2","Large regions (TL2)","TR10","Istanbul","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,75.694,,
"2","Large regions (TL2)","TR10","Istanbul","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,81.99,,
"2","Large regions (TL2)","TR10","Istanbul","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,86.539,,
"2","Large regions (TL2)","TR21","Thrace","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,83.017,,
"2","Large regions (TL2)","TR21","Thrace","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,88.56,,
"2","Large regions (TL2)","TR21","Thrace","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,89.662,,
"2","Large regions (TL2)","TR22","Southern Marmara - West","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,84.762,,
"2","Large regions (TL2)","TR22","Southern Marmara - West","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,89.39,,
"2","Large regions (TL2)","TR22","Southern Marmara - West","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,90.407,,
"2","Large regions (TL2)","TR31","Izmir","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,80.052,,
"2","Large regions (TL2)","TR31","Izmir","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,84.79,,
"2","Large regions (TL2)","TR31","Izmir","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,88.346,,
"2","Large regions (TL2)","TR32","Southern Aegean","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,84.835,,
"2","Large regions (TL2)","TR32","Southern Aegean","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,88.82,,
"2","Large regions (TL2)","TR32","Southern Aegean","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,89.354,,
"2","Large regions (TL2)","TR33","Northern Aegean","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,87.604,,
"2","Large regions (TL2)","TR33","Northern Aegean","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,91.01,,
"2","Large regions (TL2)","TR33","Northern Aegean","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,91.132,,
"2","Large regions (TL2)","TR41","Eastern Marmara - South ","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,81.964,,
"2","Large regions (TL2)","TR41","Eastern Marmara - South ","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,88.85,,
"2","Large regions (TL2)","TR41","Eastern Marmara - South ","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,89.585,,
"2","Large regions (TL2)","TR42","Eastern Marmara - North","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,86.097,,
"2","Large regions (TL2)","TR42","Eastern Marmara - North","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,86.9,,
"2","Large regions (TL2)","TR42","Eastern Marmara - North","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,89.157,,
"2","Large regions (TL2)","TR51","Ankara","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,82.325,,
"2","Large regions (TL2)","TR51","Ankara","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,85.63,,
"2","Large regions (TL2)","TR51","Ankara","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,88.936,,
"2","Large regions (TL2)","TR52","Central Anatolia - West and South","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,83.815,,
"2","Large regions (TL2)","TR52","Central Anatolia - West and South","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,87.28,,
"2","Large regions (TL2)","TR52","Central Anatolia - West and South","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,88.251,,
