"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","GBP","Pound Sterling","0","Units",,,0.750583,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","GBP","Pound Sterling","0","Units",,,0.759292,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","GBP","Pound Sterling","0","Units",,,0.761803,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","GBP","Pound Sterling","0","Units",,,0.752065,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","GBP","Pound Sterling","0","Units",,,0.750091,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","GBP","Pound Sterling","0","Units",,,0.754476,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","GBP","Pound Sterling","0","Units",,,0.747634,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","GBP","Pound Sterling","0","Units",,,0.759403,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","GBP","Pound Sterling","0","Units",,,0.74573,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","NZD","New Zealand Dollar","0","Units",,,1.433611,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","NZD","New Zealand Dollar","0","Units",,,1.47465,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","NZD","New Zealand Dollar","0","Units",,,1.474323,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","NZD","New Zealand Dollar","0","Units",,,1.476817,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","NZD","New Zealand Dollar","0","Units",,,1.469729,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","NZD","New Zealand Dollar","0","Units",,,1.447742,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","NZD","New Zealand Dollar","0","Units",,,1.447073,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","NZD","New Zealand Dollar","0","Units",,,1.469015,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","NZD","New Zealand Dollar","0","Units",,,1.425098,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","NZD","New Zealand Dollar","0","Units",,,1.409876,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","NZD","New Zealand Dollar","0","Units",,,1.443307,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","NZD","New Zealand Dollar","0","Units",,,1.372162,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","NZD","New Zealand Dollar","0","Units",,,1.360127,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","NZD","New Zealand Dollar","0","Units",,,1.39479,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2008","2008","ISK","Iceland Krona","0","Units",,,120.58,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2009","2009","ISK","Iceland Krona","0","Units",,,124.9,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2010","2010","ISK","Iceland Krona","0","Units",,,115.05,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2011","2011","ISK","Iceland Krona","0","Units",,,122.71,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2012","2012","ISK","Iceland Krona","0","Units",,,128.99,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2013","2013","ISK","Iceland Krona","0","Units",,,115.55,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2014","2014","ISK","Iceland Krona","0","Units",,,126.9,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2015","2015","ISK","Iceland Krona","0","Units",,,129.59,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2016","2016","ISK","Iceland Krona","0","Units",,,112.82,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2017","2017","ISK","Iceland Krona","0","Units",,,104.42,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2018","2018","ISK","Iceland Krona","0","Units",,,116.33,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2019","2019","ISK","Iceland Krona","0","Units",,,121.1,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2020","2020","ISK","Iceland Krona","0","Units",,,127.21,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2021","2021","ISK","Iceland Krona","0","Units",,,130.38,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2022","2022","ISK","Iceland Krona","0","Units",,,142.04,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2008","2008","AUD","Australian Dollar","0","Units",,,1.530675,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2009","2009","AUD","Australian Dollar","0","Units",,,1.549731,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2010","2010","AUD","Australian Dollar","0","Units",,,1.554906,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2011","2011","AUD","Australian Dollar","0","Units",,,1.526641,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2012","2012","AUD","Australian Dollar","0","Units",,,1.546202,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2013","2013","AUD","Australian Dollar","0","Units",,,1.518153,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2014","2014","AUD","Australian Dollar","0","Units",,,1.530216,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2015","2015","AUD","Australian Dollar","0","Units",,,1.54546,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2016","2016","AUD","Australian Dollar","0","Units",,,1.533296,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2017","2017","AUD","Australian Dollar","0","Units",,,1.56288,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2018","2018","AUD","Australian Dollar","0","Units",,,1.559359,,
